1/2017; 05/01/2017; 14/02/2017; Vereador;»CLEITON MARCIO FOSSÁ;Aprovada; envie; ofício ao Senhor EDEGAR GIORDANI- Secretário Executivo da Agência de Desenvolvimento Regional (ADR)de Chapecó,INDICANDO-LHE:Que seja realizado o conserto da iluminação pública em toda a BR-480, acesso à BR-282, em Chapecó. Solicitamos aindaa limpeza das margens e dos canteiros. As reivindicações visam garantir melhor visibilidade e segurança de todos osusuários da via.INDICANDO-LHE: 05/01/2017; 14/02/2017; Vereador;»»CLEITON MARCIO FOSSÁ;Aprovada;INDICANDO-LHE:Foi; recebido; por este gabinete a solicitação dos moradores dos Bairros Monte Castelo e Expoente, acerca da necessidadede se estabelecer mais horários no transporte coletivo público.Relatam os moradores a inexistência de horários alternativos em quantidade satisfatória para o uso do transporte coletivo,o que inviabiliza e prejudica a comunidade uma vez que se localiza em área isolada.Pelo exposto, solicito o apoio dos Nobres Vereadores, para aprovação da presente indicação.
3/2017; 06/01/2017; 14/02/2017; Vereador;»»CLEITON MARCIO FOSSÁ;Aprovada;INDICANDO-LHE:Foi; recebido; por este Vereador a solicitação dos moradores da Rua Pará, do Bairro São Pedro, acerca da necessidade demelhorias e pavimentação.Relatam que houve promessa de pavimentação da referida rua, sem até o momento haver qualquer movimentação parainício das obras. A somar, o portal da transparência denuncia a inexistência de licitação específica para a Rua Pará.Pelo exposto, solicito o apoio dos Nobres Vereadores para aprovação da presente indicação, para fins de pavimentação dasupracitada rua.
4/2017; 09/01/2017; 14/02/2017; Vereador;»»IVALDO PIZZINATTO;Aprovada;INDICANDO-LHE:Que; a; Administração Municipal através do Setor de Planejamento proceda estudo a fim de instalar câmeras demonitoramento ao final da Rua Sete de Setembro, no Bairro Paraíso. Importante destacar que este gabinete vem recebendodiversas reclamações da comunidade, inclusive informações de que nos últimos tempos aquele local tem sido utilizadocomo rota de fuga de marginais que praticam delitos na região e arredores.Portanto, a instalação de referidas câmeras é uma medida necessária e urgente, que facilitará para os órgãos de segurançapública o monitoramento do local e eventualmente investigar delitos que porventura venha a ocorrer, trazendo assim, maissegurança para a população que reside no local.
5/2017; 10/01/2017; 14/02/2017; Vereador;»»LUIZ PAULO CARARO;Aprovada;INDICANDO-LHE:Que; a; administração Municipal através da Secretaria responsável, realize a pintura das faixas de pedestres existentes noentorno das escolas da rede pública. Peço aos nobres Vereadores que aceitem a indicação, pois logo teremos o início dasaulas e assim garantiremos a segurança dos que ali transitam.
14/01/2020 as 15:21:33 Página 1/547Câmara Municipal de ChapecóProposição por Período (entre 01/01/2017 e 31/12/2019)Tipo: IndicaçãoNúmero Reunião Deliberação Origem Situação6/2017; 10/01/2017; 14/02/2017; Vereador;»»LUIZ PAULO CARARO;Aprovada;INDICANDO-LHE:Conforme; solicitação; dos moradores do Bairro Desbravador, na qual pedem o aumento dos horários do transporte públicoe a alteração de alguns trajetos na linha, solicito apoio dos Nobres Vereadores para aprovação da presente indicação, paraque junto à concessionária, possamos resolver a questão.
7/2017; 11/01/2017; 14/02/2017; Vereador;»»IVALDO PIZZINATTO;Aprovada;INDICANDO-LHE:Que; encaminhe; ao setor de direito, para que dentro das possibilidades, seja feita a construção de uma lombada física naRua Valmir Laucsen, que liga o Bairro Esplanada ao Bairro Seminário, importante destacar que, tal medida se faznecessária devido ao grande fluxo de pessoas naquela rua, sendo que a implantação da lombada física haveráconsequentemente a redução de velocidade dos veículos que por ali transitam, oferecendo maior segurança a população emgeral.
8/2017; 11/01/2017; 14/02/2017; Vereador;»»IVALDO PIZZINATTO;Aprovada;INDICANDO-LHE:Que; encaminhe; ao setor de direito para que seja realizado estudo de viabilidade para instalação de uma rótula na RuaCuritiba, esquina com a Rua Palmeiras, no Bairro Presidente Médici. Esta é uma reivindicação dos morados do Bairro,pois é um local de grande fluxo de pedestres, dentre eles estudantes, veículos e motocicletas. Esta situação acaba gerandomuito risco a todos os usuários. Diante disso, se faz necessária a instalação da referida rótula, garantindo assim maiorsegurança a todos que circulam pela região.
9/2017; 11/01/2017; 14/02/2017; Vereador;»»MARCIO ERNANI SANDER;Aprovada;INDICANDO-LHE:Para; que; seja feito a manutenção da sinalização dos 4 (quatro) cruzamentos que ligam a Rua Índio Condá com a Rua SãoPedro, centro. Também para que seja feito estudo para viabilização de uma rotatória neste mesmo cruzamento devido aogrande tráfego diário de veículos neste local, especialmente em dias de chuva, onde aumenta ainda mais a circulação deveículos e a possibilidade de acidentes.
10/2017; 11/01/2017; 14/02/2017; Vereador;»»IVALDO PIZZINATTO;Aprovada;INDICANDO-LHE:Que; a; Administração Municipal encaminhe a Esta Casa, Projeto de Lei que regulamenta a obrigatoriedade dofornecimento e instalação subterrânea da iluminação pública nos novos loteamentos que doravante serão abertos.Importante destacar que, além da questão estética, que traz bem estar ao morador, existe também vantagens econômicasdiretas, devido a sua manutenção ser de custo mais baixo, de segurança, pois fios expostos são um risco de vida, dequalidade de transmissão, já que a eletricidade não estará mais sujeita a interferência de galhos, chuva e vento, e porúltimo, mas não menos importante, vantagens ecológicas, pois sem os fios e postes, mais árvores podem ser plantadas, eestas e as demais podem crescer à vontade, tornando-se um elemento mais presente da nossa paisagem urbana, diminuindoo contraste entre cidade e natureza.
11/2017; 12/01/2017; 14/02/2017; Vereador;»»DIEGO FERNANDO ALVES;Aprovada;INDICANDO-LHE:Que; seja; feito o serviço de revitalização na Rua Assis Procópio dos Santos, Bairro Palmital, próximo ao condomínio SmartSpace Gardênia, n° 255.Ainda no mês de junho de 2016 este Edil fora contatado pelos moradores locais, os quais relataram acerca do péssimoestado da via, informando que a mesma possui buracos os quais vem apresentando riscos aos motoristas, motociclistas epedestres que transitam pelo local, bem como a lama que se forma em dias chuvosos.Solicitamos que esta indicação seja tratado com atenção pois o relato acima é referente um problema que vem seestendendo há algum tempo e nenhuma medida foi feita até o momento para a resolução de tal demanda.Lembrando que este Edil já teve a indicação 560/2016 aprovada, a qual relatava tal problema e solicitada uma providência,bem como enviou em 15/06/2016 ofício a Secretaria de Serviços Urbanos.Para maiores esclarecimentos segue em anexo fotos do local.
14/01/2020 as 15:21:33 Página 2/547Câmara Municipal de ChapecóProposição por Período (entre 01/01/2017 e 31/12/2019)Tipo: IndicaçãoNúmero Reunião Deliberação Origem Situação12/2017; 12/01/2017; 14/02/2017; Vereador;»»DIEGO FERNANDO ALVES;Aprovada;INDICANDO-LHE:Que; seja; feito o serviço de revitalização na Linha São Vedelino, trecho do endereço em anexo, que refere-se: Linha SãoVedelinho, Cx postal 01- Rural, conforme comprovante de residência em anexo.Os moradores da via referenciada acima sofrem diariamente com buracos e lama que se formam ao longo da via.O local é de subidas ingrimes, e em dias chuvosos se forma um lamaçal, impedindo o trafego de veículos, sendo quemuitos moradores locais trabalham no centro e bairros de Chapecó e a situação da via impede o transito seguro para talpopulação.Portanto, este Edil solicita que seja feito o cascalhamento na via o mais breve possível, assim evitando acidentes einconvenientes aos moradores.Para maiores esclarecimentos segue em anexo fotos do local e endereço.
13/2017; 13/01/2017; 14/02/2017; Vereador;»»CLAIMAR CESAR DE CONTO;Aprovada;INDICANDO-LHE:Que; encaminhe; ao setor de direito a colocação de novas placas de sinalização de trânsito “parada obrigatória” na RuaCarlos Gomes esquina com Afonso Pena no Bairro São Cristóvão. O cruzamento supracitado possui grande fluxo deveículos e pedestres, a falta de sinalização neste local é motivo de vários acidentes, colocando em risco a integridade físicados pedestres que circulam neste local. Diante disso, solicito o apoio dos nobres Vereadores para aprovação da presenteindicação.
