 1/2017	 11/01/2017	 14/02/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada	 ao Senhor RIQUELMO BEDIN, Secretário da Secretaria de Saúde de Chapecó, ao Senhor ÉCIO BORDIGNON, Superintendente Regional do Oeste da CASAN, e ao Senhor ALEXANDRE ESTEFANI, Promotor de Justiça da 9ª Promotoria de Justiça da Comarca de Chapecó, para, considerando as informações abaixo explanadas, sejam convidados para participarem de Audiência Pública, a ser realizada no Plenário da Câmara de Vereadores em data e hora a ser definida previamente junto ao proponente do presente Requerimento. Nos Bairros Bela Vista e Parque das Palmeiras, nesta cidade de Chapecó, existem “respiros” ou “canos” que provém das tubulações subterrâneas de esgoto, ultrapassando o limite da calçada, chegando à altura aproximada de 2 a 5 metros, encerrando-se com uma curva curta e aberta. Referidas tubulações expelem odores desagradáveis, especialmente no período noturno. Tais “respiros” são chamados de dutos de esgoto. Ocorre que muitas vezes a situação fica insuportável, pois, especialmente no bairro Bela Vista, tais dutos chegam a espirrar dejetos, piorando o odor desagradável e colocando em risco a saúde pública. Aliás, uma das moradoras do Bairro Bela Vista chegou a apresentar reclamação ainda no ano de 2012, perante o Procon desta cidade, em face da empresa responsável por tais dutos, a CASAN - Companhia Catarinense de Água e Saneamento. A Reclamação foi autuada sob o número 26164. Adveio à referida Reclamação resposta da CASAN, na qual se depreende que todo o esgoto coletado nos bairros Cristo Rei e Bela Vista passa justamente pela rua na qual residem os moradores Reclamantes do Bairro Bela Vista, para então chegar à ETE – Estação de Tratamento de Esgoto. O espirro de dejetos e o mal cheiro, conforme a CASAN, advém em razão da formação de gases, e o problema foi agravado após a pavimentação daquela Rua, que teria LACRADO AS TAMPAS DE SISTEMA DE ESGOTO, acumulando ainda mais gás e fazendo que os dejetos espirrados sejam cada vez em maior quantidade. Na referida resposta, ainda, se depreende a alegação da CASAN de que estava tentando resolver o problema. porém, os moradores ainda permanecem na mesma situação, que tende a se agravar com a vinda do verão. A Reclamação supracitada foi arquivada pelo Procon, muito embora encerrada apenas com a promessa da CASAN em tentar amenizar o problema. São por essas razões que o vereador proponente apresenta este Requerimento, para fins de realização de Audiência Pública com as autoridades competentes para o fim de explanarem e encontrar soluções práticas para o problema acima relatado, do qual sofrem moradores especialmente do Bairro Parque das Palmeiras e Bela Vista. Termos em que, pede deferimento. 
 2/2017	 17/01/2017	 14/02/2017	 Vereador	 	»»DIEGO FERNANDO ALVES 	Aprovada	 ao Senhor ÉCIO BORDIGNON – Superintendente Regional da CASAN, CONVIDANDO-O para uma Audiência Pública, a ser realizada no Salão da Comunidade do Bairro Paraíso, visando tratar com a população sobre a constante falta de água naquela localidade, e definir encaminhamentos para resolutividade deste problema. Termos que pede deferimento. 
 3/2017	 23/01/2017	 13/02/2017	 Vereador	 	»»MARCIO ERNANI SANDER ADERBAL ANTONIO P. DA SILVA ARESTIDE FIDELIS ASTRIT MARIA SAVARIS TOZZO CLAIMAR CESAR DE CONTO CLEBER CECCON CLEITON MARCIO FOSSÁ DERLI MAIER DIEGO FERNANDO ALVES ILDO ADÃO ANTONINI ITAMAR ANTONIO AGNOLETTO IVALDO PIZZINATTO JATIR JOSE BALBINOT JOÃO LUIS SIQUEIRA JOÃO MARIA MARQUES ROSA JOSE CELIO PORTELA LUIZ PAULO CARARO MARCILEI ANDREA P. VIGNATTI NEURI LUIZ MANTELLI VALDEMIR ANTONIO STOBE VALMOR JÚNIOR SCOLARI 	Aprovada 	
 4/2017	 02/02/2017	 14/02/2017	 Vereador	 	»»CLEBER CECCON 	Aprovada	 ao Reverendíssimo Senhor DOM ODELIR JOSÉ MAGRI – Bispo Diocesano de Chapecó e o Senhor Pe. MARLO FLÁVIO TESSARO – Coordenador Diocesano de Pastoral, para que sejam convidados para participar em sessão Ordinária, nesta Casa Legislativa para promover o DEBATE em relação a Campanha da Fraternidade da CNBB, deste ano de 2017 com o terá como tema “Fraternidade: biomas brasileiros e defesa da vida” e o lema “Cultivar e guardar a criação” (Gn 2.15). O objetivo geral da CF 2017: Cuidar da criação de modo especial dos biomas brasileiros, dons de Deus, e promover relações fraternas com a vida e a cultura dos povos à luz do Evangelho. Biomas são conjuntos de ecossistemas com características semelhantes dispostos em uma mesma região e que historicamente foram influenciados pelos mesmos processos de formação. No Brasil temos 06 biomas: a Mata Atlântica, a Amazônia, o Cerrado, o Pantanal, a Caatinga e o Pampa. Nesses biomas vivem pessoas, povos, resultantes da imensa miscigenação brasileira. Os biomas brasileiros sofrem interferências negativas desde a chegada dos primeiros colonizadores ao Brasil, logo após Pero Vaz de Caminha ter escrito para o Rei de Portugal afirmando que as “águas são muitas, infinitas. Em tal maneira graciosa (a terra) que, querendo-a aproveitar, dar-se-á nela tudo. por causa das águas que tem”. Os colonizadores começaram a extração do pau-brasil usando, no início, a mão de obra escrava de indígenas e mais tarde dos africanos. Hoje, após mais de 500 anos daquela carta, o que restou da beleza natural descrita por Pero Vaz de Caminha? A Igreja Católica há algum tempo, tem sido voz profética a respeito da questão ecológica. Neste início do terceiro milênio, ter uma população de mais de 200 milhões de brasileiros, sendo mais de 160 milhões vivendo em cidades gera sérias preocupações. O impacto dessa concentração populacional sobre o meio ambiente produz problemas que põem em risco as riquezas dos biomas brasileiros. À luz da fé, nos interrogaremos nas reflexões desta Campanha da Fraternidade de 2017 sobre o significado dos desafios apresentados pela situação atual dos biomas e dos povos que neles vivem. E abordaremos as principais iniciativas já existentes para a manutenção de nossa riqueza natural básica. Apontaremos propostas sobre o que podemos e devemos fazer em respeito à criação que Deus nos deu para cultivá-la e guardá-la. 
 5/2017	 02/02/2017	 14/02/2017	 Vereador	 	»»NEURI LUIZ MANTELLI JOÃO MARIA MARQUES ROSA 	Aprovada 	
 6/2017	 06/02/2017	 14/02/2017	 Vereador	 	»»CLEBER CECCON 	Aprovada	 com cópia à Senhora MARGARETE FAREZIN – Secretária Municipal de Serviços Urbanos e Infra Estrutura, REQUERENDO-LHE: Que preste as seguintes informações embasadas em documentos: Reiterando a solicitação já feita através da Indicação nº 564/2016 de 17 de Junho de 2016, para que a Prefeitura Municipal de Chapecó, elabore e execute o projeto de construção de rotatória na Avenida Senador Atílio Fontana, entrada da Unochapecó em frente ao Posto Milão no Bairro Efapi. A Avenida Atílio Fontada é uma via de grande fluxo de veículos, carros motos, caminhões e ônibus, principalmente nos horários de pico. Este local é a principal via para a Universidade - Unochapecó, dificultado a entrada e saída dos veículos que se dirigem para a Avenida Atílio fontana tanto sentido São Carlos, bem como sentido centro, ocasionando congestionamento. Neste sentido, fazendo uso das prerrogativas parlamentares, solicito as seguintes informações: 
 7/2017	 07/02/2017	 14/02/2017	 Vereador	 	»»CLEBER CECCON 	Aprovada 	
 8/2017	 07/02/2017	 13/02/2017	 Vereador	 	»»CLAIMAR CESAR DE CONTO 	Retirada 	
 9/2017	 07/02/2017	 09/02/2017	 Vereador	 	»»JOÃO MARIA MARQUES ROSA 	Retirada	 O (s) Vereador (es) que este subscreve (m), nos termos regimentais em vigor, solicitam que após as tramitações legais Vossa Excelência submeta este ao plenário, e se aprovado, se envie ofício ao Senhor RICARDO ASSIS ALVES – TENENTE-CORONEL COMANDANTE do 2° Batalhão de Polícia Militar/Fronteira de Chapecó, CONVIDANDO-O para participar de uma Sessão Ordinária ser realizada Nesta Casa, para falar sobre seu trabalho em Chapecó e região. Termos em que pede Deferimento. 
 10/2017	 08/02/2017	 14/02/2017	 Vereador	 	»»DIEGO FERNANDO ALVES 	Aprovada 	
 11/2017	 09/02/2017	 14/02/2017	 Vereador	 	»»DIEGO FERNANDO ALVES 	Aprovada	 MARIA DE LOURDES SEBEN – Gerente Regional de Educação do Governo do Estado. IGOR GIROTTO – Secretário de Educação Municipal de Chapecó, CONVIDANDO-OS para uma REUNIÃO DE TRABALHO, visando discutir a possibilidade de turmas de nível médio em escolas do bairro Santo Antônio. Este Vereador recebeu em seu gabinete alguns país moradores do Bairro Santo Antônio, que relataram um problema grave que estão enfrentando no deslocamento de seus filhos no período noturno até a Escola Druziana Sartori. Alguns relatam assaltos, outras tentativas de assalto que os alunos estão enfrentando no trajeto CASA x ESCOLA x CASA. Neste sentido, tendo em vista que o Município possui estruturas escolares no Bairro Santo Antônio que poderiam ser usadas para ministrar o ensino médio, mais próximos da casa dos moradores desta região, gostaríamos de solicitar uma reunião visando discutir o problema em conjunto com os agentes públicos e comunidade. Termos que pede deferimento. 
